,English Name,Korean Name,Ingredients,Type,Video,ingredients_parsed
495,Spicy stir-fried octopus,낙지볶음,"['garlic', 'ginger', 'green onion', 'ground black pepper', 'hot pepper flakes', 'large green onion', 'long arm octopus', 'nakji', 'onion', 'potato starch', 'rice syrup', 'soy sauce', 'sugar', 'toasted sesame oil', 'vegetable oil', '']","['appetizer', 'main dish', 'seafood', 'side dish', 'spicy']",https://youtube.com/watch?v=nyxRXn6Nbc0,"['garlic', 'ginger', 'green onion', 'large green onion', 'long arm octopus', 'nakji', 'onion', 'potato starch', 'rice syrup', 'toasted sesame oil', '']"
496,Roasted chicken,통닭구이,"['butter', 'cream cheese', 'cucumber', 'garlic', 'ground black pepper', 'honey', 'kosher salt', 'lemon', 'mayonnaise', 'olive oil', 'vegetable oil', 'whole chicken', '']","['chicken', 'main dish', 'non spicy', 'not Korean']",https://youtube.com/watch?v=BzjBxEcLcvM,"['butter', 'cream cheese', 'cucumber', 'garlic', 'lemon', 'mayonnaise', 'olive oil', 'whole chicken', '']"
497,Fluffy steamed buns filled with sweet red beans,찐빵,"['butter', 'dark brown sugar', 'dry yeast', 'flour', 'kosher salt', 'milk', 'red beans', 'rice syrup', 'vanilla extract', 'white sugar', '']","['dessert', 'main dish', 'mandu', 'non spicy', 'snack']",https://youtube.com/watch?v=G1P7PH5vLrI,"['butter', 'dark brown sugar', 'dry yeast', 'milk', 'red beans', 'rice syrup', 'vanilla extract', 'white sugar', '']"
498,Braised pig's trotters,족발,"['apple', 'brown sugar', 'cinnamon sticks', 'dark brown sugar', 'doenjang', 'dried red chili pepper', 'fermented salted shrimp', 'garlic', 'ginger', 'green onion', 'ground black pepper', 'ground coffee', 'hot pepper flakes', 'jujubes', 'kosher salt', 'mirim', 'onion', 'peppercorns', '"" pig\'s trotters""', 'rice syrup', 'soy sauce', 'star anise', 'sugar', 'toasted sesame seeds', '']","['anju', 'main dish', 'non spicy', 'pork', 'side dish']",https://youtube.com/watch?v=rRQIRcQqb4k,"['apple', 'brown sugar', 'cinnamon sticks', 'dark brown sugar', 'doenjang', 'dried red chili pepper', 'fermented salted shrimp', 'garlic', 'ginger', 'green onion', 'ground coffee', 'jujubes', 'mirim', 'onion', 'peppercorns', '"" pig\'s trotters""', 'rice syrup', 'star anise', 'toasted sesame seeds', '']"
499,Soybean sprout soup with rice,콩나물국밥,"['dried anchovies', 'dried kelp', 'eggs', 'garlic', 'green onion', 'ground black pepper', 'hot pepper flakes', 'kimchi', 'kosher salt', 'onion', 'rice', 'soybean sprouts', 'toasted sesame oil', 'toasted sesame seeds', '']","['main dish', 'one bowl meal', 'rice', 'side dish', 'soup', 'spicy']",https://youtube.com/watch?v=09_Kh_a8d_w,"['dried anchovies', 'dried kelp', 'eggs', 'garlic', 'green onion', 'kimchi', 'onion', 'rice', 'soybean sprouts', 'toasted sesame oil', 'toasted sesame seeds', '']"
500,Platter of nine delicacies,구절판,"['beef brisket', 'carrot', 'eggs', 'english cucumber', 'flour', 'garlic', 'ground black pepper', 'honey', 'kosher salt', 'mustard powder', 'pine nuts', 'rock ear mushrooms', 'shrimp', 'soy sauce', 'toasted sesame oil', 'vegetable oil', 'vinegar', 'water', '']","['appetizer', 'beef', 'main dish', 'non spicy', 'seafood']",https://youtube.com/watch?v=IJDS_iusyNQ,"['beef brisket', 'carrot', 'eggs', 'english cucumber', 'garlic', 'mustard powder', 'pine nuts', 'rock ear mushrooms', 'shrimp', 'toasted sesame oil', '']"
501,Spicy BBQ chicken drumettes,매운닭봉구이,"['chicken', 'chicken drumettes', 'garlic', 'ginger', 'gochujang', 'ground black pepper', 'hot pepper flakes', 'milk', 'onion', 'toasted sesame oil', '']","['anju', 'BBQ', 'chicken', 'main dish', 'spicy']",https://youtube.com/watch?v=_NMxgnlvZko,"['chicken', 'chicken drumettes', 'garlic', 'ginger', 'gochujang', 'milk', 'onion', 'toasted sesame oil', '']"
502,Bean porridge,콩죽,"['glutinous rice flour', 'honey', 'jujubes', 'kosher salt', 'pine nuts', 'potato starch', 'split peas', 'vegetable oil', 'water', '']","['appetizer', 'main dish', 'non spicy', 'one bowl meal', 'porridge', 'vegetarian']",https://youtube.com/watch?v=BYMe-AUlM_c,"['glutinous rice flour', 'jujubes', 'pine nuts', 'potato starch', 'split peas', '']"
503,"Spicy, chewy, sweet & sour cold noodles",쫄면,"['apple vinegar', 'cabbage', 'carrot', 'corn syrup', 'cucumber', 'eggs', 'garlic', 'gim', 'gochujang', 'green onion', 'hot pepper flakes', 'jjolmyeon noodles', 'kosher salt', 'rice syrup', 'soy sauce', 'soybean sprouts', 'toasted sesame oil', 'toasted sesame seeds', 'vinegar', '']","['cold', 'main dish', 'noodle', 'one bowl meal', 'spicy', 'vegetarian']",https://youtube.com/watch?v=vIctJQVZ3bk,"['apple vinegar', 'cabbage', 'carrot', 'corn syrup', 'cucumber', 'eggs', 'garlic', 'gim', 'gochujang', 'green onion', 'jjolmyeon noodles', 'rice syrup', 'soybean sprouts', 'toasted sesame oil', 'toasted sesame seeds', '']"
504,Rice with red beans,팥밥,"['azuki beans', 'kosher salt', 'rice', 'water', '']","['easy', 'main dish', 'non spicy', 'rice', 'snack', 'vegetarian']",https://youtube.com/watch?v=1FD6UtGEpoI,"['azuki beans', 'rice', '']"
