,English Name,Korean Name,Ingredients,Type,Video,ingredients_parsed
0,Mustard greens kimchi,갓김치,"['anchovy kelp stock', 'fish sauce', 'garlic', 'ginger', 'glutinous rice flour', 'hot pepper flakes', 'kosher salt', 'mustard greens', 'onion', 'soy sauce', 'sugar', '']","['easy', 'kimchi', 'preserved side dish', 'side dish', 'spicy']", ,"['anchovy kelp stock', 'fish sauce', 'garlic', 'ginger', 'glutinous rice flour', 'mustard greens', 'onion', '']"
1,Green onion kimchi,파김치,"['fish sauce', 'glutinous rice flour', 'green onion', 'hot pepper flakes', 'sugar', '']","['easy', 'fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=-p_5xjsxESg,"['fish sauce', 'glutinous rice flour', 'green onion', '']"
2,Quick-fermenting radish water kimchi,동치미,"['apple', 'daikon radish', 'flour', 'garlic', 'ginger', 'green chili pepper', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'onion', 'water', '']","['appetizer', 'cold', 'easy', 'fermented', 'kimchi', 'spicy']",https://youtube.com/watch?v=n45BLSybVmY,"['apple', 'daikon radish', 'garlic', 'ginger', 'green chili pepper', 'Korean radish', 'onion', '']"
3,Chayote kimchi,차이오티 김치,"['chayote', 'fish sauce', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'kosher salt', 'onion', 'soy sauce', '']","['cold', 'easy', 'fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=nCymd2wcJRw,"['chayote', 'fish sauce', 'garlic', 'ginger', 'green onion', 'onion', '']"
4,Vegetarian kimchi,채식김치,"['Asian chives', 'carrot', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'napa cabbage', 'onion', 'sugar', 'sweet rice flour', 'vegetable stock', '']","['fermented', 'kimchi', 'side dish', 'vegetarian']",https://youtube.com/watch?v=nLdvLt8XQ3Y,"['Asian chives', 'carrot', 'garlic', 'ginger', 'green onion', 'Korean radish', 'napa cabbage', 'onion', 'sweet rice flour', 'vegetable stock', '']"
5,"Quick, fresh kimchi",배추겉절이,"['Asian chives', 'carrot', 'fermented salted anchovies', 'fish sauce', 'garlic', 'ginger', 'glutinous rice flour', 'green onion', 'hot pepper flakes', 'kosher salt', 'napa cabbage', 'onion', 'sugar', 'sweet rice flour', '']","['cold', 'easy', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=VO3EiWBH15Y,"['Asian chives', 'carrot', 'fermented salted anchovies', 'fish sauce', 'garlic', 'ginger', 'glutinous rice flour', 'green onion', 'napa cabbage', 'onion', 'sweet rice flour', '']"
6,Vegetable and fruit water kimchi,나박김치,"['apple', 'english cucumber', 'garlic', 'ginger', 'green chili pepper', 'green onion', 'hot pepper flakes', 'Korean pear', 'Korean radish', 'kosher salt', 'napa cabbage', 'onion', 'red radish', 'water', '']","['appetizer', 'cold', 'easy', 'fermented', 'kimchi', 'side dish', 'spicy', 'vegetarian']",https://youtube.com/watch?v=LBJMJZdZEOQ,"['apple', 'english cucumber', 'garlic', 'ginger', 'green chili pepper', 'green onion', 'Korean pear', 'Korean radish', 'napa cabbage', 'onion', 'red radish', '']"
7,Asian chive kimchi,부추김치,"['Asian chives', 'fish sauce', 'hot pepper flakes', 'onion', 'sugar', 'sweet rice flour', 'toasted sesame seeds', '']","['cold', 'easy', 'kimchi', 'preserved side dish', 'side dish', 'spicy', 'vegetarian']",https://youtube.com/watch?v=bPOjt0NKawA,"['Asian chives', 'fish sauce', 'onion', 'sweet rice flour', 'toasted sesame seeds', '']"
8,Spicy stuffed green chili pepper kimchi,고추소박이,[''],[''],https://youtube.com/watch?v=jDIV_a5kkfQ,['']
9,Napa cabbage kimchi,통배추김치,"['Asian chives', 'carrot', 'fermented salted shrimp', 'fish sauce', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'minari', 'napa cabbage', 'onion', 'sugar', 'sweet rice flour', 'Turbinado sugar', 'water', '']","['cold', 'fermented', 'kimchi', 'preserved side dish', 'side dish', 'spicy']",https://youtube.com/watch?v=eTucCw1w6Ak,"['Asian chives', 'carrot', 'fermented salted shrimp', 'fish sauce', 'garlic', 'ginger', 'green onion', 'Korean radish', 'minari', 'napa cabbage', 'onion', 'sweet rice flour', 'Turbinado sugar', '']"
10,White Kimchi,백김치,"['Asian chives', 'carrot', 'chestnuts', 'daikon radish', 'fermented salted shrimp', 'garlic', 'ginger', 'Korean pear', 'Korean radish', 'kosher salt', 'napa cabbage', 'onion', 'pine nuts', 'red bell pepper', '']","['cold', 'fermented', 'kimchi', 'non spicy', 'side dish', 'vegetarian']",https://youtube.com/watch?v=SXtZz4_7yIw,"['Asian chives', 'carrot', 'chestnuts', 'daikon radish', 'fermented salted shrimp', 'garlic', 'ginger', 'Korean pear', 'Korean radish', 'napa cabbage', 'onion', 'pine nuts', 'red bell pepper', '']"
11,Radish water kimchi,동치미,"['garlic', 'ginger', 'green chili pepper', 'green onion', 'Korean pear', 'Korean radish', 'kosher salt', 'onion', 'water', '']","['cold', 'fermented', 'kimchi', 'non spicy', 'side dish']",https://youtube.com/watch?v=ATe2jm83MSg,"['garlic', 'ginger', 'green chili pepper', 'green onion', 'Korean pear', 'Korean radish', 'onion', '']"
12,Ponytail kimchi,총각김치,"['chonggakmu', 'fish sauce', 'flour', 'garlic', 'green onion', 'hot pepper flakes', 'kosher salt', 'onion', 'sugar', '']","['fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=MN5AhKpLEK0,"['chonggakmu', 'fish sauce', 'garlic', 'green onion', 'onion', '']"
13,Cubed radish kimchi,깍두기,"['daikon radish', 'fish sauce', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'sugar', '']","['easy', 'fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=z5NXchQKy-s,"['daikon radish', 'fish sauce', 'garlic', 'ginger', 'green onion', 'Korean radish', '']"
14,Emergency kimchi,양배추김치,"['cabbage', 'carrot', 'fish sauce', 'green onion', 'hot pepper flakes', 'kosher salt', '']","['kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=CqY22Y7hVgE,"['cabbage', 'carrot', 'fish sauce', 'green onion', '']"
15,Easy-to-make kimchi,막김치,"['carrot', 'fish sauce', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'leek', 'napa cabbage', 'onion', 'squid', 'sugar', 'sweet rice flour', 'water', '']","['fermented', 'kimchi', 'spicy']",https://youtube.com/watch?v=0sX_wDCbeuU,"['carrot', 'fish sauce', 'garlic', 'ginger', 'green onion', 'Korean radish', 'leek', 'napa cabbage', 'onion', 'squid', 'sweet rice flour', '']"
16,Perilla leaf kimchi,깻잎김치,"['carrot', 'fish sauce', 'garlic', 'green onion', 'honey', 'hot pepper flakes', 'onion', 'perilla leaves', 'sesame seeds', '']","['kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=2zTCa7Ea23c,"['carrot', 'fish sauce', 'garlic', 'green onion', 'onion', 'perilla leaves', 'sesame seeds', '']"
17,Young summer radish water kimchi,열무 물김치,"['green chili pepper', 'red chili pepper', 'water', 'young summer radish', '']","['kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=ZkxmncTRQZY,"['green chili pepper', 'red chili pepper', 'young summer radish', '']"
18,Spicy stuffed cucumber kimchi,오이소박이 김치,"['Asian chives', 'carrot', 'cucumber', 'fish sauce', 'garlic', 'hot pepper flakes', 'Kirby cucumbers', 'kosher salt', 'onion', 'sesame seeds', 'sugar', 'water', '']","['fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=ApQUENQbgiY,"['Asian chives', 'carrot', 'cucumber', 'fish sauce', 'garlic', 'Kirby cucumbers', 'onion', 'sesame seeds', '']"
19,Napa cabbage kimchi and radish kimchi,"배추김치, 깍두기","['Asian chives', 'fish sauce', 'fresh oysters', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'napa cabbage', 'onion', 'oysters', 'sugar', 'sweet rice flour', 'water', '']","['fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=IeBR91ypxk4,"['Asian chives', 'fish sauce', 'fresh oysters', 'garlic', 'ginger', 'green onion', 'Korean radish', 'napa cabbage', 'onion', 'oysters', 'sweet rice flour', '']"
20,Whole garlic pickles,통마늘 장아찌,"['kosher salt', 'soy sauce', 'sugar', 'vinegar', 'water', 'whole garlic', '']","['easy', 'fermented', 'non spicy', 'side dish']",https://youtube.com/watch?v=wcTpFjSO_vw,"['whole garlic', '']"
21,Spicy raw crab,양념게장,"['blue crabs', 'flower crab', 'garlic', 'ginger', 'hot pepper flakes', 'soy sauce', 'sugar', 'toasted sesame seeds', '']","['easy', 'main dish', 'seafood', 'side dish', 'spicy']",https://youtube.com/watch?v=JFDV7fMTCVU,"['blue crabs', 'flower crab', 'garlic', 'ginger', 'toasted sesame seeds', '']"
22,Stir-fried green chili peppers,고추볶음,"['cooking oil', 'flour', 'garlic', 'onion', 'shishito peppers', 'soy sauce', 'toasted sesame oil', 'toasted sesame seeds', '']","['appetizer', 'easy', 'non spicy', 'side dish', 'vegetarian']",https://youtube.com/watch?v=rSFLnalz_bA,"['cooking oil', 'garlic', 'onion', 'shishito peppers', 'toasted sesame oil', 'toasted sesame seeds', '']"
23,Mustard greens kimchi,갓김치,"['anchovy kelp stock', 'fish sauce', 'garlic', 'ginger', 'glutinous rice flour', 'hot pepper flakes', 'kosher salt', 'mustard greens', 'onion', 'soy sauce', 'sugar', '']","['easy', 'kimchi', 'preserved side dish', 'side dish', 'spicy']",https://youtube.com/watch?v=j3xlC-VHjis,"['anchovy kelp stock', 'fish sauce', 'garlic', 'ginger', 'glutinous rice flour', 'mustard greens', 'onion', '']"
24,Soy butter pan-grilled chicken,간장버터 닭구이,[''],[''],https://youtube.com/watch?v=BjBRtGUDfzY,['']
25,Stir-fried collard greens with doenjang,콜라드그린 된장볶움,"['collard greens', 'doenjang', 'dried anchovies', 'garlic', 'green chili pepper', 'onion', 'soy sauce', 'toasted sesame oil', 'toasted sesame seeds', 'vegetable oil', 'water', '']","['easy', 'non spicy', 'one bowl meal', 'side dish']",https://youtube.com/watch?v=_l53aQQqtw0,"['collard greens', 'doenjang', 'dried anchovies', 'garlic', 'green chili pepper', 'onion', 'toasted sesame oil', 'toasted sesame seeds', '']"
26,Braised beef in soy sauce,장조림,"['flank steak', 'garlic', 'green chili pepper', 'jalapeno pepper', 'onion', 'serrano pepper', 'soy sauce', 'water', '']","['appetizer', 'beef', 'lunchbox', 'non spicy', 'preserved side dish', 'side dish']",https://youtube.com/watch?v=mz98rHLxtiM,"['flank steak', 'garlic', 'green chili pepper', 'jalapeno pepper', 'onion', 'serrano pepper', '']"
27,Braised beltfish,갈치조림,"['beltfish', 'daikon radish', 'garlic', 'ginger', 'green chili pepper', 'ground black pepper', 'hot pepper flakes', 'Korean radish', 'onion', 'soy sauce', 'water', '']","['easy', 'main dish', 'seafood', 'side dish', 'spicy']",https://youtube.com/watch?v=dTsYsXpJ30Y,"['beltfish', 'daikon radish', 'garlic', 'ginger', 'green chili pepper', 'Korean radish', 'onion', '']"
28,Spicy cod fillets,대구살조림,"['all-purpose wheat flour', 'cod fillets', 'dried kelp', 'garlic', 'green chili pepper', 'green onion', 'ground black pepper', 'hot pepper flakes', 'kosher salt', 'onion', 'potato starch', 'soy sauce', 'water', '']","['appetizer', 'main dish', 'seafood', 'side dish', 'spicy']",https://youtube.com/watch?v=pdp5PLcVTow,"['all-purpose wheat flour', 'cod fillets', 'dried kelp', 'garlic', 'green chili pepper', 'green onion', 'onion', 'potato starch', '']"
29,Soybean paste stew with beef,소고기 된장찌개,"['beef', 'doenjang', 'garlic', 'green chili pepper', 'green onion', 'hot pepper flakes', 'onion', 'potato', 'tofu', 'vegetable oil', 'zucchini', '']","['beef', 'side dish', 'stew']",https://youtube.com/watch?v=8076I6EtA30,"['beef', 'doenjang', 'garlic', 'green chili pepper', 'green onion', 'onion', 'potato', 'tofu', 'zucchini', '']"
30,Garlic green beans,껍질콩 마늘 볶음,"['garlic', 'green beans', 'kosher salt', 'onion', 'soy sauce', 'toasted sesame oil', 'vegetable oil', '']","['easy', 'non spicy', 'side dish', 'vegan', 'vegetarian']",https://youtube.com/watch?v=5eVuZEdlVDQ,"['garlic', 'green beans', 'onion', 'toasted sesame oil', '']"
31,Beef bone broth,사골국물,"['beef bones', '']","['main dish', 'non spicy', 'side dish', 'soup']",https://youtube.com/watch?v=lBvERcudgQc,"['beef bones', '']"
32,"Sweet, sour, & crispy mushrooms",버섯탕수,"['brown sugar', 'canned pineapple', 'cucumber', 'egg white', 'ground black pepper', 'kosher salt', 'nectarine', 'onion', 'potato starch', 'shiitake mushrooms', 'soy sauce', 'toasted sesame oil', 'vegetable oil', 'water', 'white vinegar', '']","['Buddhist temple cuisine', 'main dish', 'non spicy', 'side dish', 'vegetarian']",https://youtube.com/watch?v=ndtq-xXu7Jw,"['brown sugar', 'canned pineapple', 'cucumber', 'egg white', 'nectarine', 'onion', 'potato starch', 'shiitake mushrooms', 'toasted sesame oil', 'white vinegar', '']"
33,Green onion kimchi,파김치,"['fish sauce', 'glutinous rice flour', 'green onion', 'hot pepper flakes', 'sugar', '']","['easy', 'fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=-p_5xjsxESg,"['fish sauce', 'glutinous rice flour', 'green onion', '']"
34,Minari side dish,미나리무침,"['garlic', 'green onion', 'minari', 'soy sauce', 'toasted sesame oil', 'toasted sesame seeds', '']","['easy', 'non spicy', 'side dish', 'vegan', 'vegetarian']",https://youtube.com/watch?v=zNnqp0oSb7k,"['garlic', 'green onion', 'minari', 'toasted sesame oil', 'toasted sesame seeds', '']"
35,Asparagus side dish,아스파라거스무침,"['apple vinegar', 'garlic', 'gochujang', 'green onion', 'kosher salt', 'rice syrup', 'soy sauce', 'toasted sesame oil', 'toasted sesame seeds', '']","['easy', 'side dish', 'spicy', 'vegan', 'vegetarian']",https://youtube.com/watch?v=tsCPiwK_Zm8,"['apple vinegar', 'garlic', 'gochujang', 'green onion', 'rice syrup', 'toasted sesame oil', 'toasted sesame seeds', '']"
36,Seafood green onion pancake,해물파전,"['all-purpose wheat flour', 'anchovy kelp stock', 'apple vinegar', 'clams', 'eggs', 'green onion', 'ground black pepper', 'hot pepper flakes', 'kosher salt', 'potato starch', 'shrimp', 'soy sauce', 'squid', 'toasted sesame seeds', 'vegetable oil', 'white vinegar', '']","['anju', 'appetizer', 'pancake', 'seafood', 'side dish', 'snack']",https://youtube.com/watch?v=bnYr77vOyM0,"['all-purpose wheat flour', 'anchovy kelp stock', 'apple vinegar', 'clams', 'eggs', 'green onion', 'potato starch', 'shrimp', 'squid', 'toasted sesame seeds', 'white vinegar', '']"
37,Broccoli with tofu,브로콜리 두부무침,"['broccoli', 'bunch spinach', 'edible chrysanthemum', 'garlic', 'green onion', 'kosher salt', 'toasted sesame oil', 'toasted sesame seeds', 'tofu', '']","['easy', 'non spicy', 'side dish', 'vegetarian']",https://youtube.com/watch?v=1F4q2IWzYto,"['broccoli', 'bunch spinach', 'edible chrysanthemum', 'garlic', 'green onion', 'toasted sesame oil', 'toasted sesame seeds', 'tofu', '']"
38,Stir-fried oyster mushrooms,느타리버섯볶음,"['Asian chives', 'carrot', 'garlic', 'ground black pepper', 'kosher salt', 'oyster mushrooms', 'Pandemic cooking', 'perilla seeds powder', 'toasted sesame oil', 'vegetable oil', '']","['easy', 'non spicy', 'side dish', 'vegetarian']",https://youtube.com/watch?v=B2LyHHRJUSw,"['Asian chives', 'carrot', 'garlic', 'oyster mushrooms', 'Pandemic cooking', 'perilla seeds powder', 'toasted sesame oil', '']"
39,Spicy soft tofu stew with beef,고기 순두부찌개,"['cooking oil', 'daikon radish', 'dried anchovies', 'dried kelp', 'eggs', 'fish sauce', 'garlic', 'green onion', 'ground black pepper', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'onion', 'skirt steak', 'soft tofu', 'toasted sesame oil', 'water', '']","['beef', 'main dish', 'one bowl meal', 'side dish', 'spicy', 'stew', 'sundubu-jjigae']",https://youtube.com/watch?v=sLS4l1n-3N4,"['cooking oil', 'daikon radish', 'dried anchovies', 'dried kelp', 'eggs', 'fish sauce', 'garlic', 'green onion', 'Korean radish', 'onion', 'skirt steak', 'soft tofu', 'toasted sesame oil', '']"
40,Seasoned seaweed,김무침,"['garlic', 'gim', 'green onion', 'soy sauce', 'sugar', 'toasted sesame oil', 'toasted sesame seeds', '']","['easy', 'seafood', 'side dish', 'vegetarian']",https://youtube.com/watch?v=sieNY0qaBA0,"['garlic', 'gim', 'green onion', 'toasted sesame oil', 'toasted sesame seeds', '']"
41,Stir-fried potato and ham,감자햄볶음,"['carrot', 'cooked ham', 'garlic', 'onion', 'potato', 'soy sauce', 'sugar', 'toasted sesame oil', 'vegetable oil', 'water', '']","['Buddhist temple cuisine', 'easy', 'lunchbox', 'non spicy', 'side dish']",https://youtube.com/watch?v=yP1b0Gs-Ms0,"['carrot', 'cooked ham', 'garlic', 'onion', 'potato', 'toasted sesame oil', '']"
42,Cabbage pancake,배추전,"['anchovy stock', 'chicken stock', 'napa cabbage', 'vegetable oil', 'vegetable stock', '']","['easy', 'non spicy', 'pancake', 'side dish', 'snack']",https://youtube.com/watch?v=qYnea70F4RI,"['anchovy stock', 'chicken stock', 'napa cabbage', 'vegetable stock', '']"
43,Sweet and crunchy tofu,두부강정,"['gochujang', 'ketchup', 'potato starch', 'rice syrup', 'tofu', 'vegetable oil', '']","['Buddhist temple cuisine', 'easy', 'side dish', 'snack', 'spicy', 'vegetarian']",https://youtube.com/watch?v=rJooANabXpE,"['gochujang', 'ketchup', 'potato starch', 'rice syrup', 'tofu', '']"
44,Kimchi pancake,김치전,"['flour', 'kimchi', 'scallions', 'sugar', 'vegetable oil', 'water', '']","['appetizer', 'easy', 'pancake', 'side dish', 'snack', 'spicy']",https://youtube.com/watch?v=05SSlcjIsWM,"['kimchi', 'scallions', '']"
45,Soybean paste soup with spinach and clams,시금치조개 된장국,"['beef brisket', 'bunch spinach', 'clams', 'doenjang', 'garlic', 'gochujang', 'green chili pepper', 'kosher salt', 'red chili pepper', 'toasted sesame oil', 'water', '']","['beef', 'easy', 'fermented', 'seafood', 'side dish', 'soup']",https://youtube.com/watch?v=5u8PA08c-_k,"['beef brisket', 'bunch spinach', 'clams', 'doenjang', 'garlic', 'gochujang', 'green chili pepper', 'red chili pepper', 'toasted sesame oil', '']"
46,Chayote kimchi,차이오티 김치,"['chayote', 'fish sauce', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'kosher salt', 'onion', 'soy sauce', '']","['cold', 'easy', 'fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=nCymd2wcJRw,"['chayote', 'fish sauce', 'garlic', 'ginger', 'green onion', 'onion', '']"
47,Fruit salad,과일샐러드,"['apple', 'dried cranberries', 'eggs', 'english cucumber', 'Fuyu persimmon', 'green grapes', 'Korean pear', 'mayonnaise', 'mustard', 'peanuts', 'raisins', '']","['appetizer', 'cold', 'easy', 'side dish', 'snack']",https://youtube.com/watch?v=vZDp-zFYXTY,"['apple', 'dried cranberries', 'eggs', 'english cucumber', 'Fuyu persimmon', 'green grapes', 'Korean pear', 'mayonnaise', 'mustard', 'peanuts', 'raisins', '']"
48,Stir-fried noodles and vegetables,잡채,"['beef', 'brown sugar', 'bunch spinach', 'carrot', 'chicken', 'eggs', 'garlic', 'ground black pepper', 'king oyster mushrooms', 'kosher salt', 'onion', 'pork belly', 'soy sauce', 'sweet potato starch noodles', 'toasted sesame oil', 'toasted sesame seeds', 'vegetable oil', 'white sugar', 'wood ear mushrooms', '']","['beef', 'chicken', 'easy', 'main dish', 'non spicy', 'noodle', 'pork', 'side dish', 'snack', 'vegetarian']",https://youtube.com/watch?v=OjqcuwneIFg,"['beef', 'brown sugar', 'bunch spinach', 'carrot', 'chicken', 'eggs', 'garlic', 'king oyster mushrooms', 'onion', 'pork belly', 'sweet potato starch noodles', 'toasted sesame oil', 'toasted sesame seeds', 'white sugar', 'wood ear mushrooms', '']"
49,Oxtail soup,소꼬리탕,"['daepa', 'daikon radish', 'garlic', 'ground black pepper', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'oxtail', 'soy sauce', 'toasted sesame oil', '']","['beef', 'non spicy', 'side dish', 'soup', 'spicy']",https://youtube.com/watch?v=waEOAvyBr9o,"['daepa', 'daikon radish', 'garlic', 'Korean radish', 'oxtail', 'toasted sesame oil', '']"
50,Vegetarian kimchi,채식김치,"['Asian chives', 'carrot', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'napa cabbage', 'onion', 'sugar', 'sweet rice flour', 'vegetable stock', '']","['fermented', 'kimchi', 'side dish', 'vegetarian']",https://youtube.com/watch?v=nLdvLt8XQ3Y,"['Asian chives', 'carrot', 'garlic', 'ginger', 'green onion', 'Korean radish', 'napa cabbage', 'onion', 'sweet rice flour', 'vegetable stock', '']"
51,Vegetable stock,채소국물,"['cabbage', 'daikon radish', 'dried kelp', 'green onion', 'Korean radish', 'large green onion', 'onion', 'shiitake mushrooms', '']","['appetizer', 'easy', 'non spicy', 'pancake', 'side dish', 'soup', 'staple ingredient', 'vegetarian']",https://youtube.com/watch?v=fE22NzDp2mY,"['cabbage', 'daikon radish', 'dried kelp', 'green onion', 'Korean radish', 'large green onion', 'onion', 'shiitake mushrooms', '']"
52,Doenjangguk with bok choy and tofu,청경채 두부된장국,"['bok choy', 'doenjang', 'dried anchovies', 'fish sauce', 'flour', 'garlic', 'gochujang', 'green chili pepper', 'tofu', '']","['easy', 'fermented', 'non spicy', 'side dish', 'soup', 'spicy']",https://youtube.com/watch?v=AFN1jpZbCuA,"['bok choy', 'doenjang', 'dried anchovies', 'fish sauce', 'garlic', 'gochujang', 'green chili pepper', 'tofu', '']"
53,Korean-style mapo tofu,마파두부,"['beef', 'beef broth', 'chicken', 'chicken broth', 'garlic', 'ginger', 'gochujang', 'green bell pepper', 'green chili pepper', 'green onion', 'ground black pepper', 'hot pepper flakes', 'kosher salt', 'onion', 'pork shoulder', 'potato starch', 'soy sauce', 'toasted sesame oil', 'tofu', 'vegetable oil', 'vegetable stock', '']","['beef', 'chicken', 'Korean Chinese', 'main dish', 'pork', 'side dish', 'spicy', 'stew', 'vegetarian']",https://youtube.com/watch?v=wj24Tb8Lmtc,"['beef', 'beef broth', 'chicken', 'chicken broth', 'garlic', 'ginger', 'gochujang', 'green bell pepper', 'green chili pepper', 'green onion', 'onion', 'pork shoulder', 'potato starch', 'toasted sesame oil', 'tofu', 'vegetable stock', '']"
54,Fermented pollock roe,명란젓,"['garlic', 'ginger', 'hot pepper flakes', 'kosher salt', 'mirim', 'pollock roe', '']","['easy', 'fermented', 'preserved side dish', 'seafood', 'side dish', 'spicy']",https://youtube.com/watch?v=Op5EWFzrvwY,"['garlic', 'ginger', 'mirim', 'pollock roe', '']"
55,Spicy braised chicken breasts,닭볶음탕,"['apple', 'chicken breast', 'garlic', 'ginger', 'gochujang', 'green chili pepper', 'green onion', 'ground black pepper', 'hot pepper flakes', 'kosher salt', 'milk', 'onion', 'potatoes', 'soy sauce', 'sugar', 'whole chicken', '']","['chicken', 'easy', 'main dish', 'side dish', 'spicy', 'stew']",https://youtube.com/watch?v=T7icxr899qc,"['apple', 'chicken breast', 'garlic', 'ginger', 'gochujang', 'green chili pepper', 'green onion', 'milk', 'onion', 'potatoes', 'whole chicken', '']"
56,Seafood pancakes,해물전,"['carrot', 'clam meat', 'eggs', 'fish sauce', 'flour', 'green chili pepper', 'green onion', 'ground black pepper', 'kosher salt', 'potato starch', 'shrimp', 'squid', 'toasted sesame oil', 'vegetable oil', 'water', '']","['anju', 'appetizer', 'easy', 'lunchbox', 'non spicy', 'pancake', 'side dish', 'snack']",https://youtube.com/watch?v=Z8JLfr2s3DQ,"['carrot', 'clam meat', 'eggs', 'fish sauce', 'green chili pepper', 'green onion', 'potato starch', 'shrimp', 'squid', 'toasted sesame oil', '']"
57,Spicy chicken & vegetable soup,닭개장,"['dried red chili pepper', 'fernbrake', 'fish sauce', 'garlic', 'ginger', 'ground black pepper', 'hot pepper flakes', 'kosher salt', 'large green onion', 'mung bean sprouts', 'onion', 'toasted sesame oil', 'vegetable oil', 'whole chicken', '']","['appetizer', 'chicken', 'one bowl meal', 'side dish', 'soup', 'spicy']",https://youtube.com/watch?v=ssAikm3ZkbE,"['dried red chili pepper', 'fernbrake', 'fish sauce', 'garlic', 'ginger', 'large green onion', 'mung bean sprouts', 'onion', 'toasted sesame oil', 'whole chicken', '']"
58,Stir-fried kimchi,김치볶음,[''],[''],https://youtube.com/watch?v=yP1Gk7IlhwU,['']
59,"Minced, seasoned, and grilled beef ribs with cheese",치즈떡갈비,"['beef short ribs', 'garlic', 'ginger', 'green onion', 'ground black pepper', 'Korean pear', 'mozzarella cheese', 'onion', 'rice syrup', 'shredded red pepper', 'soy sauce', 'sugar', 'toasted sesame oil', 'toasted sesame seeds', '']","['anju', 'BBQ', 'beef', 'main dish', 'non spicy', 'side dish']",https://youtube.com/watch?v=uKBhgfLY6vE,"['beef short ribs', 'garlic', 'ginger', 'green onion', 'Korean pear', 'mozzarella cheese', 'onion', 'rice syrup', 'shredded red pepper', 'toasted sesame oil', 'toasted sesame seeds', '']"
60,Extra-strong fermented soybean paste stew,청국장찌개,"['cheongukjang', 'dried anchovies', 'fish sauce', 'garlic', 'green onion', 'kimchi', 'kimchi brine', 'large green onion', 'onion', 'tofu', 'zucchini', '']","['easy', 'fermented', 'main dish', 'one bowl meal', 'side dish', 'stew']",https://youtube.com/watch?v=vhwUZAXW2Wk,"['cheongukjang', 'dried anchovies', 'fish sauce', 'garlic', 'green onion', 'kimchi', 'kimchi brine', 'large green onion', 'onion', 'tofu', 'zucchini', '']"
61,Salt-roasted shrimp,새우소금구이,"['garlic', 'gochujang', 'honey', 'lemon', 'sea salt', 'shrimp', 'sugar', '']","['easy', 'non spicy', 'seafood', 'side dish']",https://youtube.com/watch?v=55KiNIU0kSI,"['garlic', 'gochujang', 'lemon', 'sea salt', 'shrimp', '']"
62,"Stir-fried chives, meat, and vegetables",부추잡채,"['Asian chives', 'beef', 'chicken', 'dried red chili pepper', 'garlic', 'ginger', 'green chili pepper', 'green onion', 'ground black pepper', 'king oyster mushrooms', 'kosher salt', 'onion', 'oyster sauce', 'pork belly', 'potato starch', 'red chili pepper', 'soy sauce', 'toasted sesame oil', 'vegetable oil', '']","['beef', 'chicken', 'Korean Chinese', 'main dish', 'non spicy', 'pork', 'side dish', 'snack', 'vegetarian']",https://youtube.com/watch?v=tSc9SgH0fHo,"['Asian chives', 'beef', 'chicken', 'dried red chili pepper', 'garlic', 'ginger', 'green chili pepper', 'green onion', 'king oyster mushrooms', 'onion', 'oyster sauce', 'pork belly', 'potato starch', 'red chili pepper', 'toasted sesame oil', '']"
63,Steamed flower-shaped buns,꽃빵,"['dry yeast', 'flour', 'kosher salt', 'sugar', 'vegetable oil', 'water', '']","['Korean Chinese', 'non spicy', 'not Korean', 'side dish', 'snack', 'vegetarian']",https://youtube.com/watch?v=xM0RH7AlkqE,"['dry yeast', '']"
